	Running	Not created	Synchronization	Scheduling and Fork/Join	I/O	
THREAD 1.1.1	26.73	0.01	70.52	0.26	2.49	
THREAD 1.1.2	7.20	0.01	89.24	0.00	3.55	
THREAD 1.1.3	7.52	0.01	89.17	0.00	3.30	
THREAD 1.1.4	7.39	0.01	89.15	0.00	3.45	
THREAD 1.1.5	7.51	0.01	89.68	0.00	2.80	
THREAD 1.1.6	7.44	0.01	89.63	0.00	2.91	
THREAD 1.1.7	7.59	0.01	89.70	0.00	2.70	
THREAD 1.1.8	6.97	0.01	90.15	0.00	2.86	

Total	78.34	0.10	697.24	0.26	24.06	
Average	9.79	0.01	87.15	0.26	3.01	
Maximum	26.73	0.01	90.15	0.26	3.55	
Minimum	6.97	0.01	70.52	0.26	2.49	
Stdev	6.40	0.00	6.30	0.00	0.36	
Avg/Max	0.37	0.91	0.97	1.00	0.85	

