	End	PI_COMPUTATION	REST_MAIN	TIMING	
THREAD 1.1.1	23.51	76.46	0.00	0.02	
THREAD 1.1.2	23.68	76.32	0.00	0.00	
THREAD 1.1.3	23.58	76.42	0.00	0.00	
THREAD 1.1.4	23.68	76.32	0.00	0.00	
THREAD 1.1.5	23.49	76.51	0.00	0.00	
THREAD 1.1.6	23.68	76.32	0.00	0.00	
THREAD 1.1.7	23.62	76.38	0.00	0.00	
THREAD 1.1.8	23.55	76.45	0.00	0.00	

Total	188.79	611.19	0.00	0.02	
Average	23.60	76.40	0.00	0.02	
Maximum	23.68	76.51	0.00	0.02	
Minimum	23.49	76.32	0.00	0.02	
Stdev	0.07	0.07	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

