	End	PI_COMPUTATION	REST_MAIN	TIMING	
THREAD 1.1.1	31120745.00	101205044.00	5540.00	24749.00	
THREAD 1.1.2	31335912.00	101020166.00	0.00	0.00	
THREAD 1.1.3	31209129.00	101146949.00	0.00	0.00	
THREAD 1.1.4	31335919.00	101020159.00	0.00	0.00	
THREAD 1.1.5	31095837.00	101260241.00	0.00	0.00	
THREAD 1.1.6	31335945.00	101020133.00	0.00	0.00	
THREAD 1.1.7	31263182.00	101092896.00	0.00	0.00	
THREAD 1.1.8	31172526.00	101183552.00	0.00	0.00	

Total	249869195.00	808949140.00	5540.00	24749.00	
Average	31233649.38	101118642.50	5540.00	24749.00	
Maximum	31335945.00	101260241.00	5540.00	24749.00	
Minimum	31095837.00	101020133.00	5540.00	24749.00	
Stdev	92419.06	88242.20	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

