	End	PI_COMPUTATION	REST_MAIN	TIMING	
THREAD 1.1.1	3536947.00	190293.00	5268.00	16061.00	
THREAD 1.1.2	3564394.00	184175.00	0.00	0.00	
THREAD 1.1.3	3555304.00	193265.00	0.00	0.00	
THREAD 1.1.4	3561461.00	187108.00	0.00	0.00	
THREAD 1.1.5	3552738.00	195831.00	0.00	0.00	
THREAD 1.1.6	3555854.00	192715.00	0.00	0.00	
THREAD 1.1.7	3558858.00	189711.00	0.00	0.00	
THREAD 1.1.8	3561044.00	187525.00	0.00	0.00	

Total	28446600.00	1520623.00	5268.00	16061.00	
Average	3555825.00	190077.88	5268.00	16061.00	
Maximum	3564394.00	195831.00	5268.00	16061.00	
Minimum	3536947.00	184175.00	5268.00	16061.00	
Stdev	7967.20	3545.64	0.00	0.00	
Avg/Max	1.00	0.97	1.00	1.00	

